Provided by Dr. Julie Moses of SSI in July 2023, her file designation pzuran15lat3n.out.
Atmosphere measured from 1-bar level at equator. 
   N    ALT(KM)      T(K)      DEN(CM-3)  PRESS(MBAR)  G(CM S-2)     H(KM)     K(CM2 S-1)  BMASS(AMU)
  79   2.744E+02   1.191E+02   7.616E+15   1.252E-01   8.475E+02   5.028E+01   3.434E+05   2.324E+00
  80   2.813E+02   1.210E+02   6.533E+15   1.091E-01   8.470E+02   5.112E+01   3.753E+05   2.324E+00
  81   2.884E+02   1.229E+02   5.604E+15   9.512E-02   8.465E+02   5.197E+01   4.102E+05   2.324E+00
  82   2.956E+02   1.249E+02   4.809E+15   8.291E-02   8.460E+02   5.282E+01   4.483E+05   2.324E+00
  83   3.029E+02   1.268E+02   4.127E+15   7.227E-02   8.455E+02   5.368E+01   4.898E+05   2.324E+00
  84   3.103E+02   1.288E+02   3.543E+15   6.300E-02   8.450E+02   5.455E+01   5.352E+05   2.324E+00
  85   3.179E+02   1.308E+02   3.042E+15   5.492E-02   8.445E+02   5.541E+01   5.847E+05   2.324E+00
  86   3.256E+02   1.327E+02   2.613E+15   4.787E-02   8.440E+02   5.627E+01   6.386E+05   2.324E+00
  87   3.333E+02   1.347E+02   2.244E+15   4.173E-02   8.434E+02   5.714E+01   6.975E+05   2.324E+00
  88   3.412E+02   1.366E+02   1.928E+15   3.637E-02   8.429E+02   5.802E+01   7.617E+05   2.324E+00
  89   3.493E+02   1.386E+02   1.657E+15   3.170E-02   8.423E+02   5.889E+01   8.317E+05   2.324E+00
  90   3.574E+02   1.406E+02   1.424E+15   2.764E-02   8.418E+02   5.977E+01   9.081E+05   2.324E+00
  91   3.657E+02   1.426E+02   1.224E+15   2.409E-02   8.412E+02   6.065E+01   9.913E+05   2.324E+00
  92   3.740E+02   1.445E+02   1.052E+15   2.100E-02   8.406E+02   6.152E+01   1.082E+06   2.324E+00
  93   3.826E+02   1.465E+02   9.051E+14   1.830E-02   8.401E+02   6.240E+01   1.181E+06   2.324E+00
  94   3.912E+02   1.484E+02   7.784E+14   1.596E-02   8.395E+02   6.329E+01   1.289E+06   2.324E+00
  95   3.999E+02   1.504E+02   6.697E+14   1.391E-02   8.389E+02   6.417E+01   1.406E+06   2.324E+00
  96   4.088E+02   1.524E+02   5.762E+14   1.212E-02   8.383E+02   6.505E+01   1.534E+06   2.324E+00
  97   4.178E+02   1.543E+02   4.959E+14   1.057E-02   8.377E+02   6.594E+01   1.674E+06   2.324E+00
  98   4.269E+02   1.563E+02   4.268E+14   9.212E-03   8.371E+02   6.684E+01   1.826E+06   2.324E+00
  99   4.361E+02   1.583E+02   3.674E+14   8.029E-03   8.364E+02   6.773E+01   1.992E+06   2.324E+00
 100   4.455E+02   1.603E+02   3.163E+14   6.999E-03   8.358E+02   6.862E+01   2.173E+06   2.324E+00
 101   4.550E+02   1.622E+02   2.724E+14   6.101E-03   8.352E+02   6.952E+01   2.369E+06   2.324E+00
 102   4.646E+02   1.642E+02   2.346E+14   5.318E-03   8.345E+02   7.041E+01   2.584E+06   2.324E+00
 103   4.743E+02   1.662E+02   2.021E+14   4.636E-03   8.339E+02   7.131E+01   2.817E+06   2.324E+00
 104   4.841E+02   1.681E+02   1.741E+14   4.041E-03   8.332E+02   7.222E+01   3.072E+06   2.324E+00
 105   4.941E+02   1.701E+02   1.500E+14   3.522E-03   8.325E+02   7.312E+01   3.349E+06   2.324E+00
 106   5.042E+02   1.721E+02   1.292E+14   3.070E-03   8.318E+02   7.403E+01   3.651E+06   2.324E+00
 107   5.144E+02   1.740E+02   1.114E+14   2.676E-03   8.312E+02   7.493E+01   3.979E+06   2.324E+00
 108   5.248E+02   1.760E+02   9.600E+13   2.333E-03   8.305E+02   7.585E+01   4.338E+06   2.324E+00
 109   5.353E+02   1.780E+02   8.276E+13   2.034E-03   8.298E+02   7.676E+01   4.727E+06   2.324E+00
 110   5.459E+02   1.799E+02   7.135E+13   1.773E-03   8.291E+02   7.768E+01   5.152E+06   2.324E+00
 111   5.566E+02   1.851E+02   6.047E+13   1.545E-03   8.283E+02   7.996E+01   5.670E+06   2.324E+00
 112   5.681E+02   2.040E+02   4.782E+13   1.347E-03   8.276E+02   8.822E+01   6.497E+06   2.324E+00
 113   5.807E+02   2.227E+02   3.818E+13   1.174E-03   8.267E+02   9.642E+01   7.403E+06   2.324E+00
 114   5.945E+02   2.416E+02   3.068E+13   1.023E-03   8.258E+02   1.047E+02   8.403E+06   2.324E+00
 115   6.094E+02   2.605E+02   2.481E+13   8.921E-04   8.248E+02   1.130E+02   9.504E+06   2.324E+00
 116   6.254E+02   2.793E+02   2.016E+13   7.776E-04   8.238E+02   1.214E+02   1.072E+07   2.324E+00
 117   6.426E+02   2.981E+02   1.647E+13   6.778E-04   8.226E+02   1.297E+02   1.205E+07   2.324E+00
 118   6.609E+02   3.170E+02   1.350E+13   5.908E-04   8.214E+02   1.381E+02   1.352E+07   2.324E+00
 119   6.804E+02   3.359E+02   1.111E+13   5.150E-04   8.201E+02   1.466E+02   1.514E+07   2.324E+00
