Based on edl_traj_161024_DAC1_LaRC_MC_v2 Nominal Atmosphere								
Altitude referenced to 1 bar at equator: 60268 km								
								
"Altitude, km"		"Temp, deg K"		"Pressure, bars"		"Pressure, hPa"		"Density, kg/m3"
155.57		115.500		1.9590E-02		19.590		4.630120E-03
154.88		115.220		1.9900E-02		19.900		4.712520E-03
154.19		114.930		2.0200E-02		20.200		4.797120E-03
153.51		114.650		2.0510E-02		20.510		4.882380E-03
152.84		114.370		2.0820E-02		20.820		4.967870E-03
152.19		114.090		2.1130E-02		21.130		5.053570E-03
151.54		113.820		2.1430E-02		21.430		5.139490E-03
150.90		113.550		2.1740E-02		21.740		5.225640E-03
150.27		113.280		2.2050E-02		22.050		5.312010E-03
149.65		113.020		2.2360E-02		22.360		5.398610E-03
149.03		112.750		2.2670E-02		22.670		5.487060E-03
148.43		112.490		2.2980E-02		22.980		5.575980E-03
147.83		112.230		2.3300E-02		23.300		5.665190E-03
147.24		111.980		2.3610E-02		23.610		5.754680E-03
146.66		111.730		2.3930E-02		23.930		5.844480E-03
146.08		111.480		2.4240E-02		24.240		5.934590E-03
145.51		111.230		2.4560E-02		24.560		6.025020E-03
144.95		110.990		2.4870E-02		24.870		6.115790E-03
144.39		110.740		2.5190E-02		25.190		6.207580E-03
143.84		110.480		2.5510E-02		25.510		6.302210E-03
143.29		110.220		2.5840E-02		25.840		6.397280E-03
142.76		109.970		2.6160E-02		26.160		6.492800E-03
142.22		109.710		2.6490E-02		26.490		6.588780E-03
141.69		109.460		2.6810E-02		26.810		6.685240E-03
141.17		109.210		2.7140E-02		27.140		6.782180E-03
140.65		108.970		2.7470E-02		27.470		6.879630E-03
140.13		108.720		2.7800E-02		27.800		6.977600E-03
139.62		108.480		2.8130E-02		28.130		7.076110E-03
139.12		108.230		2.8460E-02		28.460		7.177490E-03
138.61		107.990		2.8810E-02		28.810		7.279950E-03
138.12		107.750		2.9150E-02		29.150		7.383050E-03
137.62		107.510		2.9490E-02		29.490		7.486810E-03
137.13		107.270		2.9840E-02		29.840		7.591260E-03
136.64		107.030		3.0180E-02		30.180		7.696420E-03
136.16		106.800		3.0530E-02		30.530		7.802310E-03
135.68		106.560		3.0880E-02		30.880		7.908970E-03
135.20		106.330		3.1230E-02		31.230		8.016410E-03
134.72		106.100		3.1590E-02		31.590		8.124680E-03
134.25		105.860		3.1950E-02		31.950		8.237060E-03
133.78		105.620		3.2320E-02		32.320		8.350740E-03
133.31		105.380		3.2690E-02		32.690		8.465440E-03
132.85		105.140		3.3060E-02		33.060		8.581190E-03
132.38		104.900		3.3430E-02		33.430		8.698030E-03
131.92		104.660		3.3810E-02		33.810		8.815990E-03
131.46		104.430		3.4190E-02		34.190		8.935120E-03
131.00		104.190		3.4570E-02		34.570		9.055450E-03
130.54		103.960		3.4960E-02		34.960		9.177020E-03
130.09		103.720		3.5340E-02		35.340		9.299870E-03
129.63		103.480		3.5740E-02		35.740		9.426280E-03
129.18		103.250		3.6150E-02		36.150		9.555320E-03
128.73		103.010		3.6560E-02		36.560		9.685840E-03
128.27		102.770		3.6970E-02		36.970		9.817880E-03
127.82		102.530		3.7380E-02		37.380		9.951500E-03
127.37		102.290		3.7810E-02		37.810		1.008670E-02
126.92		102.060		3.8230E-02		38.230		1.022360E-02
126.47		101.820		3.8660E-02		38.660		1.036220E-02
126.02		101.590		3.9090E-02		39.090		1.050250E-02
125.57		101.350		3.9530E-02		39.530		1.064460E-02
125.13		101.110		3.9980E-02		39.980		1.079060E-02
124.68		100.860		4.0440E-02		40.440		1.094190E-02
124.23		100.610		4.0900E-02		40.900		1.109520E-02
123.78		100.360		4.1370E-02		41.370		1.125070E-02
123.33		100.110		4.1840E-02		41.840		1.140830E-02
122.89		99.860		4.2320E-02		42.320		1.156810E-02
122.44		99.610		4.2810E-02		42.810		1.173020E-02
121.99		99.360		4.3300E-02		43.300		1.189450E-02
121.54		99.110		4.3800E-02		43.800		1.206120E-02
121.09		98.860		4.4300E-02		44.300		1.223020E-02
120.65		98.610		4.4810E-02		44.810		1.240300E-02
120.20		98.350		4.5340E-02		45.340		1.258190E-02
119.75		98.100		4.5880E-02		45.880		1.276350E-02
119.30		97.840		4.6420E-02		46.420		1.294780E-02
118.85		97.580		4.6960E-02		46.960		1.313480E-02
118.40		97.330		4.7510E-02		47.510		1.332450E-02
117.96		97.070		4.8070E-02		48.070		1.351690E-02
117.51		96.820		4.8640E-02		48.640		1.371220E-02
117.06		96.560		4.9210E-02		49.210		1.391030E-02
116.61		96.300		4.9790E-02		49.790		1.411140E-02
116.16		96.040		5.0390E-02		50.390		1.431900E-02
115.71		95.760		5.1000E-02		51.000		1.453460E-02
115.26		95.490		5.1620E-02		51.620		1.475340E-02
114.81		95.210		5.2240E-02		52.240		1.497550E-02
114.36		94.940		5.2870E-02		52.870		1.520110E-02
113.92		94.660		5.3520E-02		53.520		1.543010E-02
113.47		94.390		5.4160E-02		54.160		1.566270E-02
113.02		94.110		5.4820E-02		54.820		1.589880E-02
112.57		93.830		5.5490E-02		55.490		1.613870E-02
112.12		93.560		5.6160E-02		56.160		1.638240E-02
111.67		93.280		5.6860E-02		56.860		1.663740E-02
111.21		92.990		5.7570E-02		57.570		1.689750E-02
110.76		92.710		5.8290E-02		58.290		1.716190E-02
110.31		92.420		5.9020E-02		59.020		1.743070E-02
109.86		92.140		5.9760E-02		59.760		1.770390E-02
109.41		91.850		6.0520E-02		60.520		1.798170E-02
108.95		91.570		6.1280E-02		61.280		1.826410E-02
108.50		91.280		6.2050E-02		62.050		1.855130E-02
108.05		91.000		6.2830E-02		62.830		1.884330E-02
107.59		90.720		6.3640E-02		63.640		1.914410E-02
